company,domain,category,rating,reviews,maps_url
UiPath Bucharest,uipath.com,Companie de software,4.7,255,https://www.google.com/maps/search/?api=1&query=UiPath%20Bucharest&query_place_id=ChIJR45LmOABskAR_WiM1jEGVwM
Zitec,zitec.com,Companie de software,4.6,141,https://www.google.com/maps/search/?api=1&query=Zitec&query_place_id=ChIJ5aeJPeD-sUARdoZ1w517Gzg
EveryMatrix Bucuresti,everymatrix.com,Companie de software,4.7,98,https://www.google.com/maps/search/?api=1&query=EveryMatrix%20Bucuresti&query_place_id=ChIJgdTD6z7_sUARwrVsOkGEGU0
Axway România,axway.com,Companie de software,4.5,73,https://www.google.com/maps/search/?api=1&query=Axway%20Rom%C3%A2nia&query_place_id=ChIJP7wVmAX_sUARI0RlzTwspWU
Romanian Software,sdworx.ro,Companie de software,4.6,44,https://www.google.com/maps/search/?api=1&query=Romanian%20Software&query_place_id=ChIJn39DX5z_sUARHBBsn6G0yYU
mindit.io,mindit.io,Companie de software,4.7,41,https://www.google.com/maps/search/?api=1&query=mindit.io&query_place_id=ChIJ-TCFl1T_sUARJlhJD7I8ywc
Pentalog Bucharest - Agile IT center for software development services,pentalog.com,Companie de software,4.4,34,https://www.google.com/maps/search/?api=1&query=Pentalog%20Bucharest%20-%20Agile%20IT%20center%20for%20software%20development%20services&query_place_id=ChIJXTj5hlX_sUARcjwaj7_ivqU
Omniconvert,omniconvert.com,Companie de software,4.8,32,https://www.google.com/maps/search/?api=1&query=Omniconvert&query_place_id=ChIJ3_oHhi7_sUARZHbQEuW7awA
ABS Software Development,abslbs.com,Companie de software,4.9,26,https://www.google.com/maps/search/?api=1&query=ABS%20Software%20Development&query_place_id=ChIJ5_ZKOlL_sUARl04p4Q0kbsk
Suvoda Software SRL,suvoda.com,Companie de software,4.3,25,https://www.google.com/maps/search/?api=1&query=Suvoda%20Software%20SRL&query_place_id=ChIJC5oEOD__sUAR4JMo5NMPh7E
Symfonia NextUp,nextup.ro,Companie de software,3.9,25,https://www.google.com/maps/search/?api=1&query=Symfonia%20NextUp&query_place_id=ChIJh8gNZXRdrYQRW9gq1Yli4Gw
Starbyte,starbyte.ro,Companie de software,4.5,24,https://www.google.com/maps/search/?api=1&query=Starbyte&query_place_id=ChIJY9e1PB78sUARaRXIljUfaPE
"Atta Systems Romania - Companie Dezvoltare Software: Apps Mobile, Platforme Web",atta.systems,Companie de software,5,23,https://www.google.com/maps/search/?api=1&query=Atta%20Systems%20Romania%20-%20Companie%20Dezvoltare%20Software%3A%20Apps%20Mobile%2C%20Platforme%20Web&query_place_id=ChIJ5XyglUj_sUAR_iJO8iUZeII
Axes Software,axessoftware.ro,Companie de software,4.5,20,https://www.google.com/maps/search/?api=1&query=Axes%20Software&query_place_id=ChIJ0cGvTiP_sUARgCi6GymP5t8
Intelactsoft,intelactsoft.com,Companie de software,4.9,17,https://www.google.com/maps/search/?api=1&query=Intelactsoft&query_place_id=ChIJ3WC1RP4BskAR1rkoCwwmUcI
Astory Technology,astory.tech,Companie de software,4.9,17,https://www.google.com/maps/search/?api=1&query=Astory%20Technology&query_place_id=ChIJGwoPjXACskAR0MsFkRql8tA
HyperSense Software,hypersense-software.com,Companie de software,5,13,https://www.google.com/maps/search/?api=1&query=HyperSense%20Software&query_place_id=ChIJ646_sar4sUARCB8RCsAZrIY
NEURONY SOLUTIONS HQ,neurony.ro,Companie de software,4.3,12,https://www.google.com/maps/search/?api=1&query=NEURONY%20SOLUTIONS%20HQ&query_place_id=ChIJOc7ya-b-sUARpCzR6k4SbNU
AppMotion (XFactorApp) - Software Development Company,xfactorapp.com,Companie de software,4.7,12,https://www.google.com/maps/search/?api=1&query=AppMotion%20(XFactorApp)%20-%20Software%20Development%20Company&query_place_id=ChIJ-dok_8__sUARM_aOoKQjcfc
ThemeIsle,themeisle.com,Companie de software,4.9,10,https://www.google.com/maps/search/?api=1&query=ThemeIsle&query_place_id=ChIJ62TVmVT_sUARJf2jYNhJt8o
