company,domain,category,rating,reviews,maps_url
UiPath Bucharest,uipath.com,Companie de software,4.7,255,https://www.google.com/maps/search/?api=1&query=UiPath%20Bucharest&query_place_id=ChIJR45LmOABskAR_WiM1jEGVwM
Zitec,zitec.com,Companie de software,4.6,141,https://www.google.com/maps/search/?api=1&query=Zitec&query_place_id=ChIJ5aeJPeD-sUARdoZ1w517Gzg
EveryMatrix Bucuresti,everymatrix.com,Companie de software,4.7,98,https://www.google.com/maps/search/?api=1&query=EveryMatrix%20Bucuresti&query_place_id=ChIJgdTD6z7_sUARwrVsOkGEGU0
Omniconvert,omniconvert.com,Companie de software,4.8,32,https://www.google.com/maps/search/?api=1&query=Omniconvert&query_place_id=ChIJ3_oHhi7_sUARZHbQEuW7awA
Romanian Software,sdworx.ro,Companie de software,4.6,44,https://www.google.com/maps/search/?api=1&query=Romanian%20Software&query_place_id=ChIJn39DX5z_sUARHBBsn6G0yYU
Axway România,axway.com,Companie de software,4.5,73,https://www.google.com/maps/search/?api=1&query=Axway%20Rom%C3%A2nia&query_place_id=ChIJP7wVmAX_sUARI0RlzTwspWU
ThemeIsle,themeisle.com,Companie de software,4.9,10,https://www.google.com/maps/search/?api=1&query=ThemeIsle&query_place_id=ChIJ62TVmVT_sUARJf2jYNhJt8o
mindit.io,mindit.io,Companie de software,4.7,41,https://www.google.com/maps/search/?api=1&query=mindit.io&query_place_id=ChIJ-TCFl1T_sUARJlhJD7I8ywc
Plant an App Romania,plantanapp.com,Companie de software,4.5,6,https://www.google.com/maps/search/?api=1&query=Plant%20an%20App%20Romania&query_place_id=ChIJ1RicayT5sUARmhapRWO99Mo
HyperSense Software,hypersense-software.com,Companie de software,5,13,https://www.google.com/maps/search/?api=1&query=HyperSense%20Software&query_place_id=ChIJ646_sar4sUARCB8RCsAZrIY
